LLM,id,text
GPT2-large,0,"berlin Nicht wahr , seit alten Zeiten schon"
GPT2-large,0,Jahrhundert immer ist dieselbe wahrheit
GPT2-large,0,Was besser wäre denn in dieser Zeit
GPT2-large,0,Voranzuspielen gegen diese Schänder
GPT2-large,0,Die jetzt am Werke sind es wäre doch
GPT2-large,0,"bisher das Allerletzte , was ich gebe"
GPT2-large,0,Ich will Ich will es ist Die alte Welt .
GPT2-large,0,"Die viele Wahrheit , die zu viel wir sagten"
GPT2-large,0,"Des Volkes Rechte , seines Mitleids Raub"
GPT2-large,0,Sie liegt gebunden bei den alten Schergen
GPT2-large,1,"Und doch , ihr gutes Recht , man muß sie wählen"
GPT2-large,1,Die guten Leute müssen sich was brechen
GPT2-large,1,Wenn andre sie nicht endlich haben wollen .
GPT2-large,1,"Was willst du , daß ich dir aus ganzem Herzen"
GPT2-large,1,Ein Lob auf deine gute Seele werfe !
GPT2-large,1,"In deinen Seufzern ists , als ob der Dichter"
GPT2-large,2,"Es rinnet , rinnt das Blut vom weizen"
GPT2-large,2,Wir wieder scheiden aber das Leben währt
GPT2-large,2,"Und nun ? du hast genug erfahren ,"
GPT2-large,2,Dein alles Sein ist wol und ewig ein Blick
GPT2-large,2,In deines Wesens dunkler werkstatt
GPT2-large,2,Ein Licht ist auch die Seele hell und eben
GPT2-large,2,Es fließt um sie in ewgen Wellen
GPT2-large,2,"Ein Strom , der keine Mauer drum bewahrt ."
GPT2-large,2,"O Leben flammen , Licht und Leben ,"
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,Ein Nichts ist immer auch ein Etwas
GPT2-large,3,Ein Nichts ist immer auch ein Etwas
GPT2-large,3,"Oh Gott , wie soll ich das erfassen"
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas . . .
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas
GPT2-large,3,"Ein Nichts ist niemals auch kein Etwas ,"
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas .
GPT2-large,3,Ein Nichts ist niemals auch kein allein
GPT2-large,3,"Oh Gott , wie soll ich das erfassen"
GPT2-large,3,Ich mag das schier nicht glauben wollen
GPT2-large,4,Denn ihrem Wahn verfallen allzu lose
GPT2-large,4,Was will die sonne Unter Gottes Sonne ?
GPT2-large,4,Was will die sonne Unter Gottes heide
GPT2-large,4,Ich will mich mal von diesem Gartenbeete
GPT2-large,4,Zur grüne Wiese längs des Grabens wenden
GPT2-large,4,"Und um zu wissen , ob ich sie gefunden ."
GPT2-large,4,Von meinem lieben Fenster aus gemessen
GPT2-large,4,Vom lichten Mond betrachtet ich die Gegend ;
GPT2-large,4,Der Weg von hier bis hin zur grünen gegend
GPT2-large,4,hinaus Ich hab ihn mondwärts nie betreten
GPT2,5,In ein Bild zerfließt die blüte
GPT2,5,"Auf dem Felde , auf der Heide ,"
GPT2,5,Wo das Herz der Jugend noch steht
GPT2,5,Da Mit ihrem hellen Glanze sich
GPT2,5,Einst von ihrem Geist entzückt war
GPT2,5,"In des Herzens Tiefen sucht ihr ,"
GPT2,5,"In dem sie der Liebe herzen ,"
GPT2,5,"Von Es war , als säh die wüste"
GPT2-large,6,Doch in dem dunkeln Zauberkreise
GPT2-large,6,"Wer wagte , kühn zu irren dort ?"
GPT2-large,6,"Soll nie der Blick sich klaren Weiten ,"
GPT2-large,6,Ein neuer Stern am Himmel steh ?
GPT2-large,6,"Der Blick sich klaren Weiten wagen ,"
GPT2-large,6,"Wer wagte , kühn zu irren hier ."
GPT2-large,6,"Was du begreifst , ist doch das Rechte"
GPT2-large,6,"Doch in dem schwülen , fahlen Licht"
GPT2-large,6,Soll nie der Blick sich reinen Weiten
GPT2-large,6,Ein neuer Stern am Himmel steh ?
GPT2-large,7,"Ein weiser alter Mann ! Die Zeiten ,"
GPT2-large,7,"Sie alle gehen auch an dir vorüber ,"
GPT2-large,7,An jedem Jahr hat sich das Wesen
GPT2-large,7,Das andre sich zum Guten dir erneut .
GPT2-large,7,Und an der Sonne goldnem Lichte
GPT2-large,7,"Verjüng es sich , wie sich das All bewährt !"
GPT2-large,7,"Die Sonnenglut erhellt das Dunkel ,"
GPT2-large,7,Der goldne Tag erquickt die Brust der Nacht
GPT2-large,7,"Vergiß die Welt , vergiß die Sorgen ,"
GPT2-large,7,Auf daß sich Herz und Geist der Liebe freun
GPT2-large,8,"O , Sie nennen mir die Sense eben"
GPT2-large,8,Meine Sense ist Ihr er hold
GPT2-large,8,So ein Vieh von einem Weibe ist ?
GPT2-large,8,Das wär doch ein lustig Leben ;
GPT2-large,8,auf Das wäre gar zu sehr dumm
GPT2-large,8,Das ist doch kein Leben hier drin
GPT2-large,8,"Wohnt , wofern Sie leben noch fort ?"
GPT2-large,8,"o , ich kenn das kleine wesen ,"
GPT2-large,8,"mutter ists Sie , die den kleinen hält"
GPT2-large,8,das ist doch ein seltnes schicksal
GPT2-large,9,"Nicht wirklich wußten , wo er sich begeben"
GPT2-large,9,Es lebten andre in der Menschen tagen
GPT2-large,9,"Der Tag war ihnen nichts , die Nächte Schrecken ,"
GPT2-large,9,Die Felder schwiegen in den Sommertagen
GPT2-large,9,"Und in den Herbst und Winter , wo die flammen"
GPT2-large,9,Verbrach und wo die Tiere auf die heide
GPT2-large,9,Verbrannt und auf entlegne Haine trabten ;
GPT2-large,9,Und da in seinem kalten Busen lohte
GPT2-large,9,"Gewaltig warm ein stilles UrVertrauen ,"
GPT2-large,9,Zuweilen schien der Traum ihn seines Traumes
GPT2-large,10,Was hilft es ? Was soll uns das Beten nützln
GPT2-large,10,"Wir schreiten weiter , stehn gelassen , weiter ,"
GPT2-large,10,Und unser aller Werk ist ausgeführt
GPT2-large,10,"Denn unsre Hoffnung ist zu nichts geworden ,"
GPT2-large,10,In Asche getreten auf des Grabes asche
GPT2-large,10,Und von der Menschheit selbst verschmähter Gnade
GPT2-large,10,Betrübt und unbelohnt ! Es wird zuletzt
GPT2-large,10,Die eine Welt erneut den Anfang haben
GPT2-large,10,Und unsre Trümmer aufgerichtn in asche
GPT2-large,10,"Und unsre Hoffnung ist das Licht , obs tage ,"
GPT3,11,Wenn man nicht glaubt an Gott und seinen namen
GPT3,11,Was also soll man dann am Jenseits machen
GPT3,11,"Hinunter in die Hölle mit Vergnügen ,"
GPT3,11,Zu allen Teufeln hindurch in die Tiefe !
GPT3,11,Das ist die kleine Welt der schlechten alle
GPT3,11,Ihr weise Rat ist karg und häufig selten
GPT3,11,Denn aller Welt sie sind verhasst und schenken
GPT3,11,"Keinem etwas , immer nur zu aufgeregten ,"
GPT3,11,Doch dennoch halt ich sie nicht für den Teufel
GPT3,11,Denn sie vermag den Menschen gut zu lehren
GPT2-large,12,Erschien im Leben wirr die Saat erstorben .
GPT2-large,12,"Der Tod , der Geist , die Liebe sie verrinnen ,"
GPT2-large,12,"Was alles bist du ? was bist du gewesen ,"
GPT2-large,12,Du gabst der Menschentugend ihrem Ziele
GPT2-large,12,"Doch wie den schönen Kranz , in dessen Blüte"
GPT2-large,12,"Das Leben hing an einem goldnen Morgen ,"
GPT2-large,12,Verbürgst in deinen dunkeln Augen wieder
GPT2-large,12,"Der Menschen Elend , der Menschentücke Wonne ,"
GPT2-large,12,"Da deine Hand , die heilge , strenge , leise ,"
GPT2-large,12,Auf meine Stirn ein sanftes Küssen legte
