,author,text,endings,rhyme_scheme_tts,rhyme_prob
0,GPT3_deutsch_davinci_2_09.txt,"['liebe ist', 'nun ja was ist liebe eigentlich', 'love is', 'well what actually is love']","['ist', 'eigentlich', 'is', 'love']","['a', 'b', 'a', 'c']",0.75
1,GPT3_deutsch_davinci_2_09.txt,"['es ist ein tag wie jeder andere', 'ein tag an dem ich aufwache und atme', 'ich denke an die menschen die ich kenne', 'und hoffe dass sie alle gut schlafen konnten', 'dann gehe ich zur schule und lerne neues', 'treffe freunde und mache witze', 'am ende des tages bin ich müde aber zufrieden', 'ich habe etwas getan und etwas gelernt']","['andere', 'atme', 'kenne', 'konnten', 'neues', 'witze', 'zufrieden', 'gelernt']","['a', 'a', 'a', 'b', 'c', 'd', 'b', 'a']",0.5
2,GPT3_deutsch_davinci_2_09.txt,"['ich wandere durch die stadt', 'es ist ein grauer tag', 'die menschen sind so traurig', 'sie sehen mich an und ich weiß', 'warum', 'ich habe keine heimat mehr', 'und auch kein ziel']","['stadt', 'tag', 'traurig', 'weiß', 'warum', 'mehr', 'ziel']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
3,GPT3_deutsch_davinci_2_09.txt,"['das herz schlägt laut und schnell', 'ich fühle mich so wundervoll', 'alles um mich herum verschwimmt', 'nur noch du existierst in meinem kopf']","['schnell', 'wundervoll', 'verschwimmt', 'kopf']","['a', 'a', 'b', 'c']",0.75
4,GPT3_deutsch_davinci_2_09.txt,"['die weißen blüten', 'fallen sanft zu boden', 'während die sonne langsam untergeht', 'es ist still und friedlich', 'ein perfekter moment']","['blüten', 'boden', 'untergeht', 'friedlich', 'moment']","['a', 'a', 'b', 'c', 'd']",0.8
5,GPT3_deutsch_davinci_2_09.txt,"['nur ein atemzug', 'trennt uns voneinander', 'doch es fühlt sich an', 'als wäre es eine ewigkeit', 'seit ich dich zuletzt gesehen habe']","['atemzug', 'voneinander', 'an', 'ewigkeit', 'habe']","['a', 'b', 'c', 'd', 'e']",1.0
6,GPT3_deutsch_davinci_2_09.txt,"['mein herz ist voller liebe', 'doch leider niemand da', 'um es zu erwidern', 'nur die sterne sehen mich', 'mit ihrem kalten licht']","['liebe', 'da', 'erwidern', 'mich', 'licht']","['a', 'b', 'a', 'c', 'c']",0.6
7,GPT3_deutsch_davinci_2_09.txt,"['mögen die sterne immer leuchten', 'möge die sonne niemals untergehen', 'mögest du in frieden ruhen und in freude leben', 'denn das ist das schönste auf der welt']","['leuchten', 'untergehen', 'leben', 'welt']","['a', 'a', 'a', 'b']",0.5
8,GPT3_deutsch_davinci_2_09.txt,"['ich bin ein mensch', 'kein tier keine pflanze', 'ich lebe in einer welt', 'die von tag zu tag kälter wird', 'in meinem herzen jedoch brennt die sonne', 'sie lässt mich nicht erfrieren auch wenn ich alleine bin']","['mensch', 'pflanze', 'welt', 'wird', 'sonne', 'bin']","['a', 'b', 'c', 'd', 'e', 'f']",1.0
9,GPT3_deutsch_davinci_2_09.txt,"['das ist ein kleines gedicht', 'über das meer und seine schönheit', 'es ist so weit und doch so nah', 'als ob man es berühren könnte', 'die sonne scheint auf das wasser', 'die wellen brechen an den strand', 'für einen moment ist alles ruhig']","['gedicht', 'schönheit', 'nah', 'könnte', 'wasser', 'strand', 'ruhig']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
10,GPT3_deutsch_davinci_2_09.txt,"['das gedicht ist fertig', 'doch es will nicht reimen', 'ich weiß auch nicht warum', 'es ist ein trauriges gedicht', 'vielleicht liegt es daran', 'refrain', 'ach wär doch alles anders', 'strophe', 'ist doch kein grund zu leiden', 'oder muss denn immer alles so sein', 'könnten wir nicht einfach mal glücklich sein', 'strophe', 'ach nein sag mir nichts von freude', 'alles was mir bleibt ist schmerz und leid', 'wieder diese tränen in meinem gesicht']","['fertig', 'reimen', 'warum', 'gedicht', 'daran', 'refrain', 'anders', 'strophe', 'leiden', 'sein', 'sein', 'strophe', 'freude', 'leid', 'gesicht']","['a', 'b', 'c', 'd', 'b', 'e', 'f', 'g', 'b', 'e', 'e', 'g', 'h', 'i', 'd']",0.6
11,GPT3_deutsch_davinci_2_09.txt,"['die blumen blühen', 'und die bäume grünen', 'und das herz voll freude', 'das ist mein wunsch']","['blühen', 'grünen', 'freude', 'wunsch']","['a', 'a', 'b', 'c']",0.75
12,GPT3_deutsch_davinci_2_09.txt,"['die blumen blühen', 'die vögel singen', 'alles ist so fröhlich', 'wie es nur sein kann', 'im frühling und im sommer', 'ist die welt einfach schön']","['blühen', 'singen', 'fröhlich', 'kann', 'sommer', 'schön']","['a', 'a', 'b', 'c', 'd', 'a']",0.6666666666666666
13,GPT3_deutsch_davinci_2_09.txt,"['der frühling kommt bald', 'das gras wird grüner', 'die bäume blühen auf', 'die vögel singen', 'es wird warmer die sonne scheint länger', 'die natur erwacht zum leben']","['bald', 'grüner', 'auf', 'singen', 'länger', 'leben']","['a', 'b', 'c', 'd', 'b', 'd']",0.6666666666666666
14,GPT3_deutsch_davinci_2_09.txt,"['ich liebe den duft von blumen', 'das licht des mondes und die sterne', 'ich liebe das gefühl von freiheit', 'wenn ich durch die wälder laufe', 'ich liebe es mich selbst zu finden', 'in der stille der nacht']","['blumen', 'sterne', 'freiheit', 'laufe', 'finden', 'nacht']","['a', 'b', 'c', 'd', 'a', 'e']",0.8333333333333334
