,author,text,endings,rhyme_scheme_siamese,rhyme_prob
0,GPT3_deutsch_davinci_2_09.txt,"['liebe ist', 'nun ja was ist liebe eigentlich', 'love is', 'well what actually is love']","['ist', 'eigentlich', 'is', 'love']","['a', 'b', 'c', 'd']",1.0
1,GPT3_deutsch_davinci_2_09.txt,"['es ist ein tag wie jeder andere', 'ein tag an dem ich aufwache und atme', 'ich denke an die menschen die ich kenne', 'und hoffe dass sie alle gut schlafen konnten', 'dann gehe ich zur schule und lerne neues', 'treffe freunde und mache witze', 'am ende des tages bin ich müde aber zufrieden', 'ich habe etwas getan und etwas gelernt']","['andere', 'atme', 'kenne', 'konnten', 'neues', 'witze', 'zufrieden', 'gelernt']","['a', 'b', 'c', 'd', 'e', 'b', 'd', 'c']",0.625
2,GPT3_deutsch_davinci_2_09.txt,"['ich wandere durch die stadt', 'es ist ein grauer tag', 'die menschen sind so traurig', 'sie sehen mich an und ich weiß', 'warum', 'ich habe keine heimat mehr', 'und auch kein ziel']","['stadt', 'tag', 'traurig', 'weiß', 'warum', 'mehr', 'ziel']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
3,GPT3_deutsch_davinci_2_09.txt,"['das herz schlägt laut und schnell', 'ich fühle mich so wundervoll', 'alles um mich herum verschwimmt', 'nur noch du existierst in meinem kopf']","['schnell', 'wundervoll', 'verschwimmt', 'kopf']","['a', 'b', 'c', 'd']",1.0
4,GPT3_deutsch_davinci_2_09.txt,"['die weißen blüten', 'fallen sanft zu boden', 'während die sonne langsam untergeht', 'es ist still und friedlich', 'ein perfekter moment']","['blüten', 'boden', 'untergeht', 'friedlich', 'moment']","['a', 'a', 'b', 'c', 'b']",0.6
5,GPT3_deutsch_davinci_2_09.txt,"['nur ein atemzug', 'trennt uns voneinander', 'doch es fühlt sich an', 'als wäre es eine ewigkeit', 'seit ich dich zuletzt gesehen habe']","['atemzug', 'voneinander', 'an', 'ewigkeit', 'habe']","['a', 'b', 'c', 'd', 'e']",1.0
6,GPT3_deutsch_davinci_2_09.txt,"['mein herz ist voller liebe', 'doch leider niemand da', 'um es zu erwidern', 'nur die sterne sehen mich', 'mit ihrem kalten licht']","['liebe', 'da', 'erwidern', 'mich', 'licht']","['a', 'b', 'c', 'd', 'e']",1.0
7,GPT3_deutsch_davinci_2_09.txt,"['mögen die sterne immer leuchten', 'möge die sonne niemals untergehen', 'mögest du in frieden ruhen und in freude leben', 'denn das ist das schönste auf der welt']","['leuchten', 'untergehen', 'leben', 'welt']","['a', 'b', 'b', 'c']",0.75
8,GPT3_deutsch_davinci_2_09.txt,"['ich bin ein mensch', 'kein tier keine pflanze', 'ich lebe in einer welt', 'die von tag zu tag kälter wird', 'in meinem herzen jedoch brennt die sonne', 'sie lässt mich nicht erfrieren auch wenn ich alleine bin']","['mensch', 'pflanze', 'welt', 'wird', 'sonne', 'bin']","['a', 'b', 'c', 'd', 'b', 'e']",0.8333333333333334
9,GPT3_deutsch_davinci_2_09.txt,"['das ist ein kleines gedicht', 'über das meer und seine schönheit', 'es ist so weit und doch so nah', 'als ob man es berühren könnte', 'die sonne scheint auf das wasser', 'die wellen brechen an den strand', 'für einen moment ist alles ruhig']","['gedicht', 'schönheit', 'nah', 'könnte', 'wasser', 'strand', 'ruhig']","['a', 'b', 'c', 'd', 'e', 'f', 'g']",1.0
