,text,rhyme_scheme_siamese,difference_siamese,prob_rhyme
0,"['o lady judith spröder schatz', 'drückt dich zu fest mein arm', 'je zwei zu pferd haben schlechten platz', 'und winternacht weht nicht warm']","['a', 'b', 'a', 'b']","[[array([0.05303842], dtype=float32)], [array([0.00201344], dtype=float32)]]",0.5
1,"['hart ist der sitz und knapp und schmal', 'und kalt mein kleid von erz', 'doch kälter und härter als sattel und stahl', 'war gegen mich dein herz']","['a', 'b', 'a', 'b']","[[array([0.33811516], dtype=float32)], [array([0.0075357], dtype=float32)]]",0.5
2,"['sechs nächte lag ich in sumpf und moor', 'und hab um dich gewacht', 'doch weicher bei sankt görg ich s schwor', 'schlaf ich die siebente nacht']","['a', 'b', 'a', 'b']","[[array([0.13532978], dtype=float32)], [array([0.0628292], dtype=float32)]]",0.5
3,"['liebe mutter heut nacht heulte regen und wind', 'ist heute der erste mai liebes kind']","['a', 'a']","[[array([0.01181155], dtype=float32)]]",0.5
4,"['liebe mutter es donnerte auf dem brocken droben', 'liebes kind es waren die hexen oben']","['a', 'a']","[[array([0.01008672], dtype=float32)]]",0.5
5,"['liebe mutter ich möcht keine hexen sehn', 'liebes kind es ist wohl schon oft geschehn']","['a', 'a']","[[array([0.07555014], dtype=float32)]]",0.5
6,"['liebe mutter ob wohl im dorf hexen sind', 'sie sind dir wohl näher mein liebes kind']","['a', 'a']","[[array([0.1136595], dtype=float32)]]",0.5
7,"['liebe mutter worauf fliegen die hexen zum berg', 'liebes kind auf dem rauche von heissem werg']","['a', 'a']","[[array([0.0074842], dtype=float32)]]",0.5
8,"['liebe mutter worauf reiten die hexen zum spiel', 'liebes kind sie reiten auf nem besenstiel']","['a', 'a']","[[array([0.05141848], dtype=float32)]]",0.5
9,"['liebe mutter ich sah gestern im dorf viel besen', 'es sind auch viel hexen auf m brocken gewesen']","['a', 'a']","[[array([0.02592057], dtype=float32)]]",0.5
10,"['liebe mutter s hat gestern im schornstein geraucht', 'liebes kind es hat einer das werg gebraucht']","['a', 'a']","[[array([0.03356147], dtype=float32)]]",0.5
11,"['liebe mutter in der nacht war dein besen nicht zu haus', 'liebes kind so war er zum blocksberg hinaus']","['a', 'a']","[[array([0.13940692], dtype=float32)]]",0.5
