LLM,id,text,close_text,semantic_dist
GPT2-large,0,"berlin Nicht wahr , seit alten Zeiten schon",Auch bei den alten Deutschen war't,5.67264986038208
GPT2-large,0,Jahrhundert immer ist dieselbe wahrheit,Immer wahr und grad und recht,5.493997097015381
GPT2-large,0,Was besser wäre denn in dieser Zeit,"Welch ander Maß der Zeit, o sag,",4.421381950378418
GPT2-large,0,Voranzuspielen gegen diese Schänder,"Spielende Wehmut,",4.016444683074951
GPT2-large,0,Die jetzt am Werke sind es wäre doch,"Hier so gut wie dieser Reisende,",3.6358702182769775
GPT2-large,0,"bisher das Allerletzte , was ich gebe","Kam nun doch das letzte Kommen,",4.997903823852539
GPT2-large,0,Ich will Ich will es ist Die alte Welt .,Euch die alt' und neue Welt?,5.680594444274902
GPT2-large,0,"Die viele Wahrheit , die zu viel wir sagten",O wie Viele sind der Wahrheit auf der Spur!,6.237335205078125
GPT2-large,0,"Des Volkes Rechte , seines Mitleids Raub","Dein Menschenleid und was dir Kummer bringt,",5.889721393585205
GPT2-large,0,Sie liegt gebunden bei den alten Schergen,"In anderem wieder gebunden,",5.038599967956543
GPT2-large,1,"Und doch , ihr gutes Recht , man muß sie wählen","Zu wählen die Wahl, –",5.847367763519287
GPT2-large,1,Die guten Leute müssen sich was brechen,"Doch darf bei uns, wenn's einer bricht,",5.996739864349365
GPT2-large,1,Wenn andre sie nicht endlich haben wollen .,Wollt ihr sie noch ereilen.«,5.4713287353515625
GPT2-large,1,"Was willst du , daß ich dir aus ganzem Herzen",Wie wollt' ich dann herzinniglich,3.789541482925415
GPT2-large,1,Ein Lob auf deine gute Seele werfe !,"Himmelslohn euch, große Seelen,",4.528983116149902
GPT2-large,1,"In deinen Seufzern ists , als ob der Dichter",Den Dichter sei Lähm hier un Treim.,5.096044063568115
GPT2-large,2,"Es rinnet , rinnt das Blut vom weizen",Aus verschlungenem Wurzelgeflecht,5.532649040222168
GPT2-large,2,Wir wieder scheiden aber das Leben währt,"Aber ganz von hinnen scheiden,",3.9642531871795654
GPT2-large,2,"Und nun ? du hast genug erfahren ,","Mir ist genug schon, daß ich weiß,",4.706589221954346
GPT2-large,2,Dein alles Sein ist wol und ewig ein Blick,"Auf ewig sei Dir Alles hingegeben,",4.363307476043701
GPT2-large,2,In deines Wesens dunkler werkstatt,"Hallend im dunkelem Schacht,",5.514186859130859
GPT2-large,2,Ein Licht ist auch die Seele hell und eben,"Licht, von dessen Strahl die Seele lebet,",4.474826335906982
GPT2-large,2,Es fließt um sie in ewgen Wellen,"Vorüber rinnt wie der Wellen Schwall,",4.422072410583496
GPT2-large,2,"Ein Strom , der keine Mauer drum bewahrt .",Läßt sich nicht bannen;,5.825098514556885
GPT2-large,2,"O Leben flammen , Licht und Leben ,","Dir Licht und Lebenschein,",4.900445461273193
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,Ein Nichts ist niemals auch kein Etwas,"Du bist ein Nichts und bleibst ein Nichts,",5.402258396148682
GPT2-large,3,Ein Nichts ist immer auch ein Etwas,"Hält nichts und alles wahr,",6.026324272155762
GPT2-large,3,Ein Nichts ist immer auch ein Etwas,"Hält nichts und alles wahr,",6.026324272155762
